opportunity_type,name,host,date_time_kst,location,onsite,source_url,confidence,guide_use_zh,guide_use_en,priority
sponsor_index,ICML 2026 Sponsors,ICML,All conference week,COEX / official sponsor pages,yes,https://icml.cc/virtual/2026/sponsor_list,high,做逛展优先级和公司索引；赞助商总表约 100 家。,Use as the expo priority list and company index; sponsor list has about 100 organizations.,P0
career,ICML Career Opportunities,ICML / sponsors / exhibitors,All conference week,ICML Careers login,hybrid,https://icml.cc/careers/,high,注册后必看；公开页不显示岗位详情。,Must-check after registration; public page does not expose job details.,P0
career,ICML Recruitment Database,ICML sponsors / exhibitors,All conference week,ICML Careers / sponsor channels,hybrid,https://icml.cc/sponsors/sponsorinfo,high,提醒找工作的人先登录 careers，不要只靠线下搭讪。,Tell job seekers to log into careers first instead of relying only on hallway conversations.,P0
career,Dedicated interview rooms,Diamond / Platinum sponsors,By reservation,COEX,yes,https://icml.cc/sponsors/sponsorinfo,high,对 Diamond/Platinum 目标公司提前约面。,Pre-book interviews with target Diamond/Platinum sponsors.,P1
expo,"Expo Talks, Demos, Workshops",ICML / sponsors,"Mon Jul 6, 2026","Auditorium, Halls B2/C/D1/D2, Grand Ballroom Foyer",yes,https://icml.cc/virtual/2026/events/2026-Expo,high,比晚宴更稳定的公司技术入口；适合招聘、产品、研究合作线索。,"More reliable than dinner lists for company tech entry points, recruiting, product, and collaboration leads.",P0
expo_talk,Multi-Agent System Design and Evaluation for Quantitative Finance,Jump Trading,Mon Jul 6 08:00-09:00,Hall D1,yes,https://icml.cc/virtual/2026/75722,high,量化 + multi-agent 方向重点看。,High-value for quant + multi-agent interests.,P1
expo_workshop,Reliable and Efficient LLM Outputs with Mellea + Granite OSS Libraries,IBM-related,Mon Jul 6 16:00-19:00,Auditorium,yes,https://icml.cc/virtual/2026/75711,high,开源 LLM infra / enterprise AI 实操场。,Useful for open-source LLM infrastructure and enterprise AI practice.,P1
expo_demo,Xiaomi GUI Agent,Xiaomi,Mon Jul 6 12:30-14:30,Grand Ballroom Foyer,yes,https://icml.cc/virtual/2026/75720,high,手机 GUI agent / device AI 方向可看。,Useful for mobile GUI agents and device AI.,P1
expo_demo,AI for International E-Commerce,"Alibaba ecosystem: AliExpress, Lazada, AIDC",Mon Jul 6 12:30-14:30,Grand Ballroom Foyer,yes,https://icml.cc/virtual/2026/75719,high,电商推荐、购物 agent、供应链模型方向可看。,"Useful for e-commerce recommendation, shopping agents, and supply-chain models.",P1
mentorship,RAI Mentoring Circle: Responsible AI for Early Career AI Researchers,ICML Mentorship,Mon Jul 6 13:00-17:00,ASEM Ballroom 201-203,yes,https://icml.cc/virtual/2026/mentorship/80259,high,early-career / responsible AI 单独推荐。,Recommended for early-career and responsible-AI networking.,P1
