id,company_zh,company_en,program_or_brand,event_title_zh,event_title_en,date_kst,start_time_kst,end_time_kst,location_public,area_hint,source_type,source_url,source_label,source_published_at,confidence,status,guide_bucket,show_on_main_timeline,notes_zh,notes_en
kuaishou_kstar_20260708,快手,Kuaishou,快Star / K-Star,"快手 x ICML 2026 晚宴报名；K-Star STARRY NIGHT 学术晚宴","Kuaishou x ICML 2026 dinner registration; K-Star STARRY NIGHT academic dinner",2026-07-08,18:00,21:30,韩国首尔汝矣岛码头,Yeouido Dock,direct_rsvp,https://www.wjx.cn/vm/rN1U64h.aspx,问卷星公开报名页 / WJX public RSVP page,2026-06-18,high,signup_closed_invite_only,timeline_confirmed,yes,"报名截止为 2026-07-01 24:00 北京时间；页面写明邀约制，成功者 2026-07-03 前邮件或电话通知。","Registration deadline was 2026-07-01 24:00 Beijing time; invite-only with email/phone confirmation by 2026-07-03."
alibaba_reported_dinner_20260708,阿里,Alibaba,阿里星 / Tongyi-related talent pipeline,"阿里 ICML 2026 晚宴（媒体称）","Alibaba ICML 2026 dinner (reported by media)",2026-07-08,unknown,unknown,未公开；媒体称君悦酒店 38 层,Grand Hyatt Seoul 38F reported by media,media_report,https://news.qq.com/rain/a/20260622A0EUAQ00,晚点 LatePost / 腾讯新闻转载,2026-06-22,medium_low,no_public_rsvp_found,extra_attention,no,"媒体称阿里、快手、腾讯在 ICML 首尔同一天办晚宴；日期由快手官方页和媒体“同一天”表述推断，阿里时间地点未由官方确认。","Media says Alibaba, Kuaishou, and Tencent held dinners on the same ICML Seoul day; the date is inferred from Kuaishou's official page plus that report, not from an Alibaba RSVP."
tencent_qingyun_reported_dinner_20260708,腾讯,Tencent,青云计划 / Qingyun,"腾讯青云 ICML 2026 晚宴（媒体称）","Tencent Qingyun ICML 2026 dinner (reported by media)",2026-07-08,unknown,unknown,未公开,unknown,official_program_page_and_media_report,"https://join.qq.com/qingyun.html?activity=998339352544759808&activity=999037442205503488&activityLink=999037546450571264 ; https://news.qq.com/rain/a/20260622A0EUAQ00",腾讯青云官方页 + 晚点 LatePost / 腾讯新闻转载,2026-06-22,medium_low,no_public_rsvp_found,extra_attention,no,"腾讯青云官方页存在，但未核到 ICML 晚宴公开 RSVP；“至少 12 名负责人”只在媒体表述中出现。","Tencent Qingyun has an official page, but no public ICML dinner RSVP was found; the 12-leadership detail is only media-reported."
bytedance_seed_no_public,字节跳动,ByteDance,Seed / Top Seed,未找到 ICML 2026 首尔公开活动,No public ICML 2026 Seoul event found,unknown,unknown,unknown,未找到,unknown,negative_search,"https://weixin.sogou.com/weixin?type=2&query=ICML%202026%20%E5%AD%97%E8%8A%82%20Seed%20%E6%99%9A%E5%AE%B4%20%E9%A6%96%E5%B0%94",搜狗微信检索 / Sogou Weixin search,2026-07-02,low,no_public_source_found,not_found,no,"检索结果主要指向 CVPR 丹佛期间 Seed/Intel/英伟达等活动，不足以证明 ICML 首尔活动。","Search results mainly pointed to CVPR Denver activity mentions, not an ICML Seoul event."
huawei_talent_night_hint,华为,Huawei,Huawei Talent,"Huawei Talent Night at ICML 2026（公开帖提及）","Huawei Talent Night at ICML 2026 (public post mention)",unknown,unknown,unknown,Seoul,Seoul,linkedin_public_post,https://sg.linkedin.com/in/junwei-liao,LinkedIn 公开资料/帖子线索,unknown,medium,time_location_missing,extra_attention,no,"subagent 核到 LinkedIn 公开帖提及 Huawei Talent Night at ICML 2026；文字未给出具体时间地点，详情疑似在图片里。","A public LinkedIn clue mentions Huawei Talent Night at ICML 2026, but text did not expose exact time or venue."
xiaomi_wechat_title,小米,Xiaomi,小米技术,"7月首尔见！小米ICML2026顶尖人才技术交流晚宴报名开启","See you in Seoul in July: Xiaomi ICML 2026 top-talent technical exchange dinner registration opens",unknown,unknown,unknown,首尔,Seoul,wechat_title_only,"http://mp.weixin.qq.com/s?src=11&timestamp=1782985701&ver=6818&signature=g2Tn0quBkLebKBQSOhXUxOBr04Znch6xSbt8DsXTVQ3yYfCuBm*aVELtaHSji-KogQt7LW1JBh*xzSP9ouQNtJnSUis4JeEL3OUxv5mn2nVAsalr*YN6Xy8FCj4kbRmY&new=1",搜狗网页结果露出的微信公众号标题 / Sogou web result for WeChat article,2026-07-02,medium_low,article_found_details_blocked_by_wechat_verification,extra_attention,no,"已核到文章标题和微信链接，但正文被微信环境验证挡住；未拿到时间、地点、报名截止。","The WeChat article title and link were found, but the article body was blocked by WeChat verification; no time, venue, or deadline was recovered."
minimax_no_public,MiniMax,MiniMax,MiniMax,未找到 ICML 2026 首尔公开活动,No public ICML 2026 Seoul event found,unknown,unknown,unknown,未找到,unknown,media_context_not_event,"https://weixin.sogou.com/weixin?type=2&query=ICML%202026%20MiniMax%20%E6%99%9A%E5%AE%B4%20%E9%A6%96%E5%B0%94",搜狗微信检索 / Sogou Weixin search,2026-07-02,low,no_public_source_found,not_found,no,"晚点相关报道提到 MiniMax 的语境更像 CVPR 丹佛第二天活动；未找到 ICML 首尔页。","Related media mentions appear to refer to CVPR Denver rather than ICML Seoul; no ICML Seoul page was found."
moonshot_kimi_no_public,月之暗面,Moonshot AI / Kimi,Kimi,未找到 ICML 2026 首尔公开活动,No public ICML 2026 Seoul event found,unknown,unknown,unknown,未找到,unknown,negative_search,"https://weixin.sogou.com/weixin?type=2&query=ICML%202026%20%E6%9C%88%E4%B9%8B%E6%9A%97%E9%9D%A2%20Kimi%20%E6%99%9A%E5%AE%B4%20%E9%A6%96%E5%B0%94",搜狗微信检索 / Sogou Weixin search,2026-07-02,low,no_public_source_found,not_found,no,"检索只出现 Kimi 公司/人才语境，未找到 ICML 首尔晚宴或见面会。","Search only surfaced general Kimi/company context, not an ICML Seoul dinner or meetup."
meituan_aggregator_hint,美团,Meituan,Meituan AI,"首尔有约，ICML 2026 美团AI顶尖人才校招见面会邀请函（聚合标题）","Seoul invite: ICML 2026 Meituan AI top-talent campus recruiting meetup invitation (aggregator title)",unknown,unknown,unknown,首尔,Seoul,aggregator_title_only,https://www.gudaya.chat/,聚合站标题线索 / aggregator title clue,unknown,low,unverified_title_only,extra_attention,no,"subagent 找到聚合站标题；本地微信/网页搜索未复核到官方公众号或报名页，暂不入正式时间线。","A subagent found an aggregator title, but local searches did not recover an official WeChat post or RSVP; keep out of the formal timeline."
xiaohongshu_no_public,小红书,Xiaohongshu / RED,REDstar,未找到 ICML 2026 首尔公开活动,No public ICML 2026 Seoul event found,unknown,unknown,unknown,未找到,unknown,negative_search,"https://weixin.sogou.com/weixin?type=2&query=ICML%202026%20%E5%B0%8F%E7%BA%A2%E4%B9%A6%20%E6%99%9A%E5%AE%B4%20%E9%A6%96%E5%B0%94",搜狗微信检索 / Sogou Weixin search,2026-07-02,low,no_public_source_found,not_found,no,"只找到 REDstar 作为人才计划被媒体提及，未找到 ICML 线下活动。","REDstar was only found as a talent-program mention, not as an ICML offline event."
baidu_no_public,百度,Baidu,Baidu,未找到 ICML 2026 首尔公开活动,No public ICML 2026 Seoul event found,unknown,unknown,unknown,未找到,unknown,negative_search,"https://weixin.sogou.com/weixin?type=2&query=ICML%202026%20%E7%99%BE%E5%BA%A6%20%E6%99%9A%E5%AE%B4%20%E9%A6%96%E5%B0%94",搜狗微信检索 / Sogou Weixin search,2026-07-02,low,no_public_source_found,not_found,no,"检索结果是百度 OCR/论文资讯等，不是线下活动。","Search results concerned Baidu OCR/news items, not offline events."
ant_no_public,蚂蚁集团,Ant Group,Ant Group,未找到 ICML 2026 首尔公开活动,No public ICML 2026 Seoul event found,unknown,unknown,unknown,未找到,unknown,negative_search,"https://www.sogou.com/web?query=ICML%202026%20%E8%9A%82%E8%9A%81%20%E6%99%9A%E5%AE%B4%20%E9%A6%96%E5%B0%94",网页检索 / web search,2026-07-02,low,no_public_source_found,not_found,no,"找到的多为 ICLR 2025 或旧活动，不是 ICML 2026 首尔。","Found mostly ICLR 2025 or older events, not ICML 2026 Seoul."
