zone,name,kind,when_to_go,from_coex,google_maps_query,source,notes,google_maps_url,google_maps_directions_url
COEX,Starfield COEX Mall,mall / food / logistics,"Between sessions, lunch, rain backup",Inside/adjacent to COEX,"Starfield COEX Mall, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60729,Best low-friction default around the venue.,https://www.google.com/maps/search/?api=1&query=Starfield+COEX+Mall%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Starfield+COEX+Mall%2C+Seoul&travelmode=transit
COEX,Starfield Library,library / landmark,Short photo/rest stop,Inside Starfield COEX Mall,"Starfield Library, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60729,Public landmark; easy to combine with mall meals.,https://www.google.com/maps/search/?api=1&query=Starfield+Library%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Starfield+Library%2C+Seoul&travelmode=transit
COEX,Bongeunsa Temple,temple / quiet walk,"Morning, sunset, decompression break",Walkable from COEX/Bongeunsa Station,"Bongeunsa Temple, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=104722,Close enough for a real break without leaving Gangnam.,https://www.google.com/maps/search/?api=1&query=Bongeunsa+Temple%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Bongeunsa+Temple%2C+Seoul&travelmode=transit
COEX,SEA LIFE COEX Aquarium,indoor attraction,Rainy free slot or family add-on,Inside COEX/Starfield area,"SEA LIFE COEX Aquarium, Seoul",https://www.visitsealife.com/seoul/en/,Check same-day closing and last-entry time before going.,https://www.google.com/maps/search/?api=1&query=SEA+LIFE+COEX+Aquarium%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=SEA+LIFE+COEX+Aquarium%2C+Seoul&travelmode=transit
COEX,Parnas Mall,mall / food,Meal fallback near conference hotels,Adjacent to Grand InterContinental Seoul Parnas,"Parnas Mall, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=73474,Useful if staying at or meeting near Parnas.,https://www.google.com/maps/search/?api=1&query=Parnas+Mall%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Parnas+Mall%2C+Seoul&travelmode=transit
COEX,Hyundai Department Store Trade Center,department store / food hall,"Shopping, food hall, gifts",Walkable from Samseong/COEX,"Hyundai Department Store Trade Center, Seoul",https://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00147000,Practical indoor option near the venue.,https://www.google.com/maps/search/?api=1&query=Hyundai+Department+Store+Trade+Center%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Hyundai+Department+Store+Trade+Center%2C+Seoul&travelmode=transit
Gangnam,Gangnam Station / Gangnam-daero,evening food / side-event zone,"After posters, dinners, socials",Short transit/taxi from COEX,"Gangnam Station, Seoul",https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=86853,High density but busy; confirm exact venue.,https://www.google.com/maps/search/?api=1&query=Gangnam+Station%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Gangnam+Station%2C+Seoul&travelmode=transit
Seongsu,Seongsu Cafe Street,cafes / shops,Half-day break or casual meetup,Line 2 from Samseong to Seongsu,"Seongsu Cafe Street, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140660,Good candidate for a lighter day away from COEX.,https://www.google.com/maps/search/?api=1&query=Seongsu+Cafe+Street%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Seongsu+Cafe+Street%2C+Seoul&travelmode=transit
Seongsu,Seoul Forest,park,Longer daylight break,Near Seongsu/Ttukseom,"Seoul Forest, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140660,Pair with Seongsu cafes rather than making a separate trip.,https://www.google.com/maps/search/?api=1&query=Seoul+Forest%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Seoul+Forest%2C+Seoul&travelmode=transit
Hongdae,Hongik Univ. Street,nightlife / music / food,Late evening only if energy allows,Cross-city ride from COEX,"Hongik University Street, Seoul",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=112801,"Worth listing as optional, not a core conference-day stop.",https://www.google.com/maps/search/?api=1&query=Hongik+University+Street%2C+Seoul,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Hongik+University+Street%2C+Seoul&travelmode=transit
