phase,task_zh,task_en,why_zh,why_en,source_url,priority
before_departure,安装 ICML app，并确认能访问注册邮箱里的 receipt / QR code。,Install the ICML app and confirm access to the registration receipt / QR code in email.,用于现场 check-in、日程和聊天。,"Needed for check-in, schedule updates, and attendee chat.",https://play.google.com/store/apps/details?hl=en_US&id=com.atonyman.icml,P0
before_departure,在官方 virtual site 里 bookmark 重点 papers / sessions，并导出或离线保存个人日程。,Bookmark key papers/sessions on the official virtual site and export or save the personal schedule offline.,官方提醒会场 Wi-Fi 在拥挤区域可能不稳定。,Official guidance warns that venue Wi-Fi may be unreliable in crowded areas.,https://blog.icml.cc/2026/05/24/icml-2026-registration-update-capacity-limits-and-what-attendees-need-to-know/,P0
before_departure,确认 Registration Desk 时间：7 月 5 日 14:00-19:30；7 月 6 日 07:00-18:00；7 月 7-9 日 07:30-18:00；7 月 10 日 07:30-16:00；7 月 11 日 07:30-12:00。,Confirm Registration Desk hours: Jul 5 14:00-19:30; Jul 6 07:00-18:00; Jul 7-9 07:30-18:00; Jul 10 07:30-16:00; Jul 11 07:30-12:00.,Help Desk 时间跟注册台一致，且 workshop-only badge 从 7 月 9 日 16:00 开始领取。,"Help Desk follows registration hours, and workshop-only badge pickup starts Jul 9 at 16:00.",https://icml.cc/virtual/2026/calendar?filter_events=Registration%20Desk&filter_rooms=,P0
before_departure,学生票参会者准备学生证；所有人检查胸牌姓名/机构信息。,Student-rate attendees should carry student ID; everyone should check badge name/institution details.,学生证和身份信息会影响 check-in。,Student ID and profile details affect check-in.,https://icml.cc/FAQ,P0
before_departure,带 Type C/F 转换头，确认电脑/手机充电器支持 220V/60Hz。,Bring Type C/F adapters and confirm laptop/phone chargers support 220V/60Hz.,韩国电压和插座与美国/英国/新加坡等常见插头不同。,Korea's voltage and outlets differ from US/UK/Singapore-style plugs.,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140041,P0
arrival_day,购买或充值 Tmoney/EZL/WOWPASS/Climate Card，并准备少量现金。,Buy or top up Tmoney/EZL/WOWPASS/Climate Card and keep some cash.,地铁/公交/便利店支付和换乘折扣更顺。,Makes subway/bus/convenience-store payments and transfer discounts easier.,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140663,P0
arrival_day,机场先处理 SIM/eSIM/Wi-Fi、少量韩元现金和 6103 机场巴士/地铁路线。,"At the airport, handle SIM/eSIM/Wi-Fi, small KRW cash, and the 6103 airport bus or subway route.",比到 COEX 后临时找网络、换汇和交通方案更稳。,"More reliable than improvising network, cash, and transport after reaching COEX.",https://www.coexcenter.com/directions-map-airport-2/,P0
arrival_day,到 COEX 后先定位 Hall B Foyer、Hall A、East/West Gate、2F Plaetz。,"At COEX, first locate Hall B Foyer, Hall A, East/West Gate, and 2F Plaetz.",这些覆盖 help desk、poster、医疗、寄存和出入口。,"These cover help desk, posters, medical office, luggage check, and entrances.",https://icml.cc/Conferences/2026/AtTheConference,P0
daily,每天早上检查天气；雨天优先走 COEX/Starfield 室内动线。,Check weather each morning; use COEX/Starfield indoor routes on rainy days.,7 月 7-12 日预报显示高湿、降雨和雷阵雨风险。,The Jul 7-12 forecast shows humid conditions with rain/thunderstorm risk.,web.weather: Seoul forecast captured 2026-07-02 for Jul 7-12,P0
daily,离开酒店前检查胸牌；离开会场后取下胸牌。,Check badge before leaving the hotel; remove badge offsite.,无胸牌不能入场，场外佩戴胸牌也不必要。,Badge is required for entry and unnecessary offsite.,https://icml.cc/FAQ,P0
authors,Poster 作者确认 session、poster number、poster 尺寸、取件时间和 Hall A 张贴规则。,"Poster authors should confirm session, poster number, poster size, pickup time, and Hall A hanging rules.",取件和张贴规则非常具体，错过会影响展示。,Pickup and hanging rules are specific and can affect presentation.,https://icml.cc/Conferences/2026/PosterInstructions,P0
career_or_sponsors,找工作/合作的人先登录 ICML Careers，再按 sponsor list 和 Expo events 排路线。,"For jobs or collaborations, log into ICML Careers first, then plan routes from the sponsor list and Expo events.",官方 Careers 和 Expo 比外部晚宴更稳定，且部分岗位/面试机会只对注册参会者开放。,"Official Careers and Expo are more stable than external dinners, and some postings/interviews are registration-gated.",https://icml.cc/careers/,P1
daily,把 112、119、1330、Lost112 号码存到手机。,"Save 112, 119, 1330, and Lost112 on the phone.",紧急、医疗、旅游热线、失物查询可快速使用。,"Enables quick access to emergency, medical, tourist hotline, and lost-item support.",https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140042,P0
evening_events,所有 Luma guests-only 活动报名通过后，把精确地址替换进地图和路线链接。,"After RSVP approval for guests-only Luma events, replace map and route links with the exact address.",公开页只到区域级，不能当正式会场。,"Public pages expose only an area, not the final venue.",data/processed/icml2026_side_events.csv,P0
