category,name_zh,name_en,korean_note,why_zh,why_en,hours_or_timing,location_zh,location_en,guide_use_zh,guide_use_en,source_name,source_url,confidence,needs_recheck,notes
within_5_min,Starfield COEX Mall,Starfield COEX Mall,스타필드 코엑스몰,COEX 地下主补给区，吃饭、咖啡、书店、休息点、雨天动线都在这里。,"Main underground supply zone for dining, coffee, bookstore, short breaks, and rain-safe movement.",10:30-22:00; shop hours vary,COEX 地下连通，Samseong / Bongeunsa 均可达,Underground connection to COEX; accessible from Samseong / Bongeunsa,会场 5 分钟内补给 / 雨天默认路线,Within-5-minute supplies / default rainy-day route,Starfield official,https://www.starfield.co.kr/coexmall/main.do,high,yes,Use mall-level hours only; individual store hours vary.
within_5_min,Gourmet Street,Gourmet Street,,适合 3-6 人相对正式的约饭，覆盖 casual 到 restaurant。,Good for 3-6 person meals from casual dining to restaurants.,Mall hours 10:30-22:00; shop hours vary,Starfield COEX Mall B1-1F,Starfield COEX Mall B1-1F,小组晚饭 / sponsor chat 备选,Small-group dinner / sponsor-chat backup,Starfield Gourmet Street,https://www.starfield.co.kr/coexmall/cafeDining/gourmetStreet.do,high,yes,Reserve or go off-peak for dinner during conference week.
within_5_min,City Air Tower Food Street,City Air Tower Food Street,,短午休效率高，适合快速吃饭后回 poster / oral。,Efficient for short lunch gaps before returning to posters or orals.,Mall hours 10:30-22:00; shop hours vary,COEX / CALT 一侧地下,Underground on the COEX / CALT side,快速午饭,Quick lunch,Starfield Food Street,https://www.starfield.co.kr/coexmall/cafeDining/foodStreet.do,high,yes,Expect queues at peak lunch time.
within_5_min,Starfield Cafe 区,Starfield Cafe zone,,短聊、等人、会前咖啡；官方列出 Starbucks Reserve、Paul Bassett 等。,"Coffee, short chats, and waiting point; official listings include Starbucks Reserve and Paul Bassett.",Mall hours 10:30-22:00; shop hours vary,Starfield COEX Mall 内,Inside Starfield COEX Mall,咖啡 / 会面,Coffee / meetup,Starfield Cafe,https://www.starfield.co.kr/coexmall/cafeDining/cafe.do,high,yes,"Use for quick meetings, not quiet deep work."
within_5_min,Starfield Library,Starfield Library,,好找，适合集合和短暂休息。,Easy landmark for meeting and short breaks.,10:30-22:00,COEX Mall 中央,Central COEX Mall,集合点 / 休息点,Meeting point / break point,Starfield official,https://www.starfield.co.kr/coexmall/main.do,high,yes,Busy and photo-heavy; not ideal for focused conversation.
within_5_min,Parnas Mall,Parnas Mall,,Parnas / InterContinental 侧，适合比 COEX Mall 稍安静的饭局。,Parnas / InterContinental side option for somewhat quieter meals than COEX Mall.,10:00-22:00,Grand InterContinental / Samseong Station 侧，地下连通,"Grand InterContinental / Samseong Station side, underground connected",商务饭 / sponsor chat 备选,Business meal / sponsor-chat backup,VisitKorea,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=73474,high,yes,Individual restaurant hours and reservations still need live checks.
within_5_min,"Devil's Door, COEX East Gate","Devil's Door, COEX East Gate",,COEX 官方列 320 seats，适合较大组晚饭或啤酒。,COEX lists 320 seats; useful for larger group dinner or beer.,Sun-Thu 11:30-24:00; Fri-Sat 11:30-01:00,COEX 1F East Gate,COEX 1F East Gate,大组约饭 / 晚间备选,Large-group meal / evening backup,COEX Restaurants,https://www.coexcenter.com/catering-service/restaurants/,high,yes,Crowding and event-week availability should be checked.
within_5_min,COEX-WTC 地下连通区,COEX-WTC underground connection,,可连 COEX Mall、会展中心、City Airport、银行、邮局、药店、百货和酒店。,"Connects COEX Mall, convention center, City Airport, banks, post office, drugstores, department store, and hotels.",Facility dependent,COEX / Trade Tower / Parnas 地下网络,COEX / Trade Tower / Parnas underground network,雨天动线,Rain-safe route,WTC Seoul,https://wtcseoul.com/en/sub/trade.php,high,no,Prefer underground routes in heavy rain or heat.
within_5_min,便利店,Convenience stores,,买水、零食、简单用品，也常用于 T-money 充值。,"Water, snacks, simple supplies, and often T-money top-up.",Store dependent,Starfield / Trade Center 周边,Around Starfield / Trade Center,补给,Supplies,WTC Seoul,https://wtcseoul.com/en/sub/trade.php,medium,yes,"Write as nearby availability, not as a specific 24-hour claim."
within_5_min,药店 / 医务室,Pharmacy / medical room,,感冒药、创可贴、应急处理；Starfield 有医务室，正规药局需现场确认。,"Cold medicine, bandages, and basic support; Starfield has a medical room, but formal pharmacy details need live checks.",Store/facility dependent,Trade Center 周边 / Starfield 1F,Around Trade Center / Starfield 1F,药品和急救备选,Medicine and first-aid backup,WTC Seoul / Starfield facilities,https://www.starfield.co.kr/coexmall/tenant/facility.do,medium,yes,Separate pharmacy from beauty drugstores; prescription medicine requires a proper pharmacy.
